DYNAMIXEL Graph,3
ItemCount,3
-1,311,MX-64(2.0),Realtime Tick,#000000,0
-1,311,MX-64(2.0),Present Position,#ffff00,0
-1,311,MX-64(2.0),Present Velocity,#ff0000,0
Time[ms],Realtime Tick,Present Position,Present Velocity
0,14929,105,0
100,15029,105,0
149,15078,105,0
170,15099,105,0
190,15119,105,0
210,15139,105,0
230,15159,105,0
250,15179,105,0
270,15199,105,0
290,15219,105,0
310,15239,105,0
330,15259,105,0
350,15279,105,0
370,15299,104,0
390,15319,105,0
410,15339,105,0
430,15359,105,0
450,15379,105,0
470,15399,105,0
490,15419,105,0
510,15439,105,0
530,15459,105,0
550,15479,105,0
570,15499,105,0
590,15519,105,0
610,15539,105,0
630,15559,105,0
650,15579,105,0
670,15599,105,0
690,15619,105,0
710,15639,105,0
730,15659,105,0
750,15679,105,0
770,15699,105,0
790,15719,105,0
810,15739,105,0
830,15759,105,0
850,15779,105,0
870,15799,105,0
890,15819,105,0
910,15839,105,0
930,15859,105,0
950,15879,105,0
970,15899,105,0
990,15919,105,0
1010,15939,105,0
1030,15959,105,0
1050,15979,105,0
1070,15999,105,0
1090,16019,105,0
1110,16039,105,0
1130,16059,105,0
1150,16079,105,0
1170,16099,105,0
1190,16119,105,0
1210,16139,105,0
1230,16159,105,0
1250,16179,105,0
1270,16199,105,0
1290,16219,105,0
1310,16239,105,0
1330,16259,105,0
1350,16279,105,0
1370,16299,105,0
1390,16319,105,0
1410,16339,105,0
1430,16359,105,0
1450,16379,105,0
1470,16399,105,0
1490,16419,105,0
1510,16439,105,0
1530,16459,105,0
1550,16479,105,0
1570,16499,105,0
1590,16519,105,0
1610,16539,105,0
1630,16559,105,0
1650,16579,105,0
1670,16599,105,0
1690,16619,105,0
1710,16639,105,0
1730,16659,105,0
1750,16679,105,0
1770,16699,105,0
1790,16719,105,0
1810,16739,105,0
1830,16759,105,0
1850,16779,105,0
1870,16799,105,0
1890,16819,105,0
1910,16839,105,0
1929,16858,105,0
1950,16879,105,0
1970,16899,105,0
1990,16919,105,0
2010,16939,105,0
2030,16959,105,0
2050,16979,105,0
2070,16999,105,0
2090,17019,105,0
2110,17039,105,0
2130,17059,105,0
2150,17079,105,0
2170,17099,105,0
2190,17119,105,0
2210,17139,105,0
2230,17159,105,0
2250,17179,105,0
2270,17199,105,0
2290,17219,105,0
2309,17238,105,0
2330,17259,105,0
2350,17279,105,0
2370,17299,105,0
2390,17319,105,0
2410,17339,105,0
2430,17359,105,0
2450,17379,105,0
2470,17399,105,0
2490,17419,105,0
2510,17439,105,0
2529,17458,105,0
2550,17479,105,0
2570,17499,105,0
2590,17519,105,0
2610,17539,105,0
2629,17558,105,0
2650,17579,105,0
2669,17598,105,0
2689,17618,105,0
2709,17638,105,0
2729,17658,105,0
2749,17678,105,0
2769,17698,105,0
2789,17718,105,0
2809,17738,105,0
2830,17759,105,0
2850,17779,105,0
2870,17799,105,0
2890,17819,105,0
2909,17838,105,0
2929,17858,105,0
2949,17878,105,0
2970,17899,105,0
2989,17918,105,0
3009,17938,105,0
3029,17958,105,0
3050,17979,105,0
3069,17998,104,0
3089,18018,105,0
3109,18038,105,0
3129,18058,105,0
3150,18079,105,0
3169,18098,105,0
3189,18118,105,0
3209,18138,105,0
3229,18158,105,0
3249,18178,105,0
3269,18198,105,0
3289,18218,105,0
3309,18238,105,0
3329,18258,105,0
3350,18279,112,3
3369,18298,120,17
3390,18319,124,20
3409,18338,124,12
3429,18358,137,6
3449,18378,200,65
3469,18398,238,139
3489,18418,253,117
3509,18438,258,64
3529,18458,261,28
3549,18478,279,26
3569,18498,289,41
3589,18518,293,33
3609,18538,293,17
3629,18558,305,8
3649,18578,380,69
3669,18598,446,176
3689,18618,474,179
3709,18638,485,111
3729,18658,551,92
3749,18678,633,177
3769,18698,682,218
3789,18718,699,160
3809,18738,707,82
3829,18758,756,70
3849,18778,793,118
3869,18798,808,106
3889,18818,812,61
3909,18838,813,27
3929,18858,813,9
3949,18878,813,2
3969,18898,813,0
3989,18918,814,0
4009,18938,814,0
4029,18958,813,0
4049,18978,813,0
4070,18999,813,0
4089,19018,813,0
4109,19038,813,0
4129,19058,773,-27
4149,19078,746,-82
4169,19098,735,-77
4189,19118,732,-44
4209,19138,724,-20
4229,19158,653,-62
4249,19178,573,-176
4269,19198,530,-210
4289,19218,517,-146
4309,19238,502,-74
4329,19258,426,-94
4349,19278,346,-193
4369,19298,304,-216
4389,19318,289,-148
4409,19338,285,-74
4429,19358,272,-39
4449,19378,264,-35
4469,19398,260,-28
4489,19418,260,-14
4509,19438,260,-4
4529,19458,260,-1
4549,19478,259,0
4569,19498,260,0
4589,19518,260,0
4609,19538,267,0
4629,19558,339,58
4650,19579,410,175
4669,19598,439,184
4689,19618,449,116
4709,19638,456,55
4729,19658,525,71
4750,19679,616,181
4769,19698,704,250
4789,19718,777,269
4809,19738,809,221
4829,19758,874,163
4849,19778,932,187
4869,19798,957,168
4889,19818,966,100
4909,19838,967,46
4929,19858,967,16
4949,19878,967,4
4969,19898,967,1
4989,19918,967,0
5009,19938,967,0
5029,19958,968,0
5049,19978,967,0
5069,19998,967,0
5089,20018,967,0
5109,20038,963,0
5129,20058,890,-53
